instance,algorithm,n_customers,n_scenarios,delivery_ratio,net_demand,mean_abs_demand,demand_variance,ordering_sensitivity,objective,gap,n_nodes,solve_time_s,cuts_added,proved_optimal,total_distance,expected_penalty,n_vehicles,avg_route_penalty,max_route_peak_mean,p_any_overflow,overflow_position
inst_n10_dr40_0,STORM_Exact,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,181.71591323982244,0.009638701420538992,3713,1.9578990936279297,"{'route': 1742, 'jensen_set': 0, 'rci': 0, 'sec': 163}",True,53.844086090315784,27.871827149506665,1.0,27.871827149506665,4.505128807345335,0.0,[]
inst_n10_dr40_1,Baseline_Robust,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,inf,100.0,1,0.0007958412170410156,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_1,STORM_ALNS_Only,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,166.6009448013357,,0,0.0,{},False,18.364545640782538,48.23639916055316,1.0,48.23639916055316,0.7991622679171551,0.0,[]
inst_n10_dr40_1,STORM_Exact,10,50,0.6,-7.042286312969178,1.5681068749978597,79.72862240385606,0.3740185270662677,190.83169385973463,9.543195697458032,15484,30.001412868499756,"{'route': 9993, 'jensen_set': 0, 'rci': 0, 'sec': 499}",False,50.4200415942028,40.4116522655318,1.0,40.4116522655318,2.665482456664957,0.0,[]
inst_n10_dr40_2,Baseline_Robust,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,inf,100.0,1,0.0006067752838134766,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_2,STORM_ALNS_Only,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,146.07564571675994,,0,0.0,{},False,18.653250308712792,27.422395408047144,1.0,27.422395408047144,0.29559436159907715,0.0,[]
inst_n10_dr40_2,STORM_Exact,10,50,0.9,-19.701902071417884,2.0293090794616035,96.79977818145953,0.5972202840952008,152.93640285780052,0.009084903131023149,4202,1.7500009536743164,"{'route': 1613, 'jensen_set': 0, 'rci': 0, 'sec': 185}",True,28.54560437818129,24.390798479619242,1.0,24.390798479619242,0.0,0.0,[]
inst_n12_dr20_0,Baseline_Robust,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,inf,100.0,16238,30.00159215927124,"{'route_capacity': 8777, 'sec': 617}",False,,,,,,,
inst_n12_dr20_0,STORM_ALNS_Only,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,162.7611876283973,,0,0.0,{},False,17.187406224158167,45.57378140423914,1.0,45.57378140423914,0.0,0.0,[]
inst_n12_dr20_0,STORM_Exact,12,50,0.6666666666666666,-11.349194753212712,1.4355589076893027,98.2716203873249,0.6514978242787919,175.98830879372443,9.532232083916572,23346,30.001460790634155,"{'route': 8897, 'jensen_set': 0, 'rci': 0, 'sec': 761}",False,41.34408195867315,34.644226835051285,1.0,34.644226835051285,0.29663880380565194,0.0,[]
